gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
1,0,0,1,0,1,0,240,1
0,0,0,0,1,0,0,93,1
1,0,1,0,0,1,52,40,1
0,1,0,0,0,1,50,1580,1
1,1,0,0,0,1,259,324,1
1,0,1,0,0,1,51,89,1
1,1,0,0,0,1,0,11,0
0,0,0,0,1,1,405,5578,1
1,0,1,0,0,1,451,8471,1
1,0,0,0,1,1,75,1773,1
1,0,0,1,0,1,0,69,0
0,0,1,0,0,1,0,78,1
0,0,1,0,0,1,639,12170,1
1,1,0,0,0,0,26,55,1
1,0,1,0,0,0,0,2160,0
1,0,0,0,1,1,0,1012,0
0,0,0,0,1,0,151,142,1
1,0,0,1,0,1,0,281,0
0,1,0,0,0,1,12,755,1
0,0,0,1,0,1,0,108,0
1,0,0,0,1,0,16,0,1
0,0,1,0,0,1,31,319,1
0,1,0,0,0,1,0,7469,1
1,0,0,1,0,1,0,87,1
0,1,0,0,0,0,44,1037,1
1,0,0,0,1,1,0,445,0
0,0,0,0,1,1,15,55,1
1,0,0,1,0,1,0,30,0
1,0,0,1,0,1,0,105,0
1,0,0,1,0,1,126,538,1
0,0,0,0,1,1,223,1921,1
1,0,0,0,1,1,13,123,1
0,0,0,1,0,0,1579,749,1
1,0,0,0,1,1,0,476,1
1,0,0,0,1,1,191,6041,1
1,0,0,1,0,1,0,410,1
1,0,0,1,0,1,0,17,0
0,0,0,0,1,0,0,375,0
0,1,0,0,0,1,0,180,0
0,1,0,0,0,0,0,168,0
1,0,0,1,0,1,30,410,1
1,0,0,1,0,1,310,176,1
1,0,0,1,0,1,0,753,1
1,0,1,0,0,1,11,89,1
0,0,0,0,1,0,0,31,1
1,0,1,0,0,1,297,5838,1
0,0,0,1,0,0,152,2395,1
1,0,0,0,1,1,341,6209,1
1,0,0,0,1,1,85,5097,1
1,0,0,1,0,1,1395,24163,1
1,0,0,1,0,1,0,4525,1
0,0,0,0,1,1,11,28,1
1,0,1,0,0,1,19,0,1
0,1,0,0,0,1,0,601,0
0,1,0,0,0,1,0,14,0
1,0,0,0,1,1,0,45,0
1,0,0,1,0,1,0,1323,0
1,0,0,1,0,0,0,324,0
1,0,0,0,1,1,0,61,0
1,0,0,0,1,1,0,13,0
1,0,0,1,0,1,26,38,1
1,0,0,1,0,1,0,653,0
0,0,0,1,0,0,35,2291,1
1,1,0,0,0,1,13,594,1
1,0,1,0,0,1,0,35,0
0,0,0,1,0,1,0,70,0
0,1,0,0,0,1,0,62,0
1,0,0,0,1,1,0,25,0
0,0,1,0,0,1,0,26,0
1,0,1,0,0,1,46,308,1
0,0,1,0,0,1,0,133,0
1,0,0,0,1,0,0,43,1
1,1,0,0,0,1,0,196,0
1,0,1,0,0,1,30,310,1
0,0,1,0,0,0,0,553,0
0,0,0,0,1,0,12,1041,1
1,0,0,1,0,1,1218,15703,1
0,0,1,0,0,1,0,12,0
1,1,0,0,0,1,382,5281,1
1,1,0,0,0,1,77,212,1
1,0,0,0,1,1,0,455,0
1,0,0,1,0,1,0,1592,0
1,0,0,0,1,1,42,17,1
1,1,0,0,0,1,0,14,0
0,0,0,1,0,0,603,704,1
1,0,0,1,0,1,0,22,0
1,0,0,0,1,1,0,3582,0
0,1,0,0,0,0,92,881,1
0,0,0,1,0,0,58,1505,1
0,0,0,1,0,1,42,22,1
1,0,1,0,0,1,547,10701,1
0,1,0,0,0,1,0,18,0
1,0,0,1,0,1,0,56,0
1,0,1,0,0,1,44,2942,1
0,0,0,0,1,1,0,21,0
1,1,0,0,0,1,40,11,1
1,0,0,1,0,1,190,1495,1
1,0,0,1,0,1,0,14,0
0,0,0,1,0,1,619,6211,1
1,0,0,1,0,1,181,6862,1
1,0,0,1,0,1,0,12,0
0,0,0,1,0,1,0,1875,0
0,0,0,1,0,1,0,29,0
0,0,0,1,0,0,424,7690,1
0,0,0,1,0,0,61,104,1
0,0,0,0,1,0,0,11,0
1,1,0,0,0,1,0,89,1
1,0,0,1,0,1,570,11493,1
1,1,0,0,0,1,0,2120,0
1,0,1,0,0,1,63,371,1
0,0,0,0,1,1,0,1393,1
0,0,0,0,1,0,75,656,1
1,0,1,0,0,0,13,25,1
1,0,0,0,1,1,25,4748,1
1,0,0,1,0,1,11,0,1
1,1,0,0,0,1,0,187,0
1,1,0,0,0,1,0,87,0
1,0,0,0,1,1,0,57,0
1,0,0,1,0,1,234,165,1
1,1,0,0,0,1,414,107,1
1,0,0,0,1,1,66,37,1
0,1,0,0,0,0,0,56,1
0,0,0,0,1,0,57,664,1
0,1,0,0,0,0,0,29,0
1,0,0,1,0,1,0,11,0
0,1,0,0,0,0,0,342,0
1,1,0,0,0,1,0,61,0
